class,precision,recall,f1,support
Arial,0.9466666666666667,0.9466666666666667,0.9466666666666667,150
Bookman,0.9932885906040269,0.9866666666666667,0.9899665551839465,150
Calibri,0.993103448275862,0.96,0.976271186440678,150
Candara,0.9490445859872612,0.9933333333333333,0.9706840390879479,150
CenturyGothic,0.958041958041958,0.9133333333333333,0.9351535836177474,150
ComicSansMS,0.9865771812080537,0.98,0.9832775919732442,150
CourierNew,1.0,1.0,1.0,150
FranclinGothic,1.0,1.0,1.0,150
Garamond,0.9867549668874173,0.9933333333333333,0.9900332225913622,150
Georgia,0.9354838709677419,0.9666666666666667,0.9508196721311476,150
Helvetica,0.9337748344370861,0.94,0.93687707641196,150
Lobster,1.0,0.9733333333333334,0.9864864864864865,150
LucidaSans,0.9328859060402684,0.9266666666666666,0.9297658862876254,150
MS_Sans_Serif,0.9605263157894737,0.9733333333333334,0.9668874172185431,150
MonotypeCorsiva,1.0,0.9733333333333334,0.9864864864864865,150
Palatino,0.9675324675324676,0.9933333333333333,0.9802631578947368,150
SegoeUI,0.9733333333333334,0.9733333333333334,0.9733333333333334,150
TimesNewRoman,0.98,0.98,0.98,150
TrebuchetMS,0.9530201342281879,0.9466666666666667,0.9498327759197325,150
Verdana,0.9415584415584416,0.9666666666666667,0.9539473684210527,150
