class,precision,recall,f1,support
Arial,0.8235294117647058,0.84,0.8316831683168315,150
Bookman,0.9615384615384616,1.0,0.9803921568627451,150
Calibri,0.9126984126984127,0.7666666666666667,0.8333333333333334,150
Candara,0.7926829268292683,0.8666666666666667,0.8280254777070064,150
CenturyGothic,0.9483870967741935,0.98,0.9639344262295082,150
ComicSansMS,0.9798657718120806,0.9733333333333334,0.9765886287625419,150
CourierNew,0.9675324675324676,0.9933333333333333,0.9802631578947368,150
FranclinGothic,0.9933774834437086,1.0,0.9966777408637874,150
Garamond,0.9801324503311258,0.9866666666666667,0.983388704318937,150
Georgia,0.9415584415584416,0.9666666666666667,0.9539473684210527,150
Helvetica,0.8661417322834646,0.7333333333333333,0.7942238267148015,150
Lobster,1.0,1.0,1.0,150
LucidaSans,0.9933774834437086,1.0,0.9966777408637874,150
MS_Sans_Serif,0.8984375,0.7666666666666667,0.827338129496403,150
MonotypeCorsiva,1.0,1.0,1.0,150
Palatino,0.9615384615384616,1.0,0.9803921568627451,150
SegoeUI,0.9536423841059603,0.96,0.9568106312292359,150
TimesNewRoman,0.9527027027027027,0.94,0.9463087248322148,150
TrebuchetMS,0.7283236994219653,0.84,0.7801857585139319,150
Verdana,0.9411764705882353,0.96,0.9504950495049505,150
