,Arial,Bookman,Calibri,Candara,CenturyGothic,ComicSansMS,CourierNew,FranclinGothic,Garamond,Georgia,Helvetica,Lobster,LucidaSans,MS_Sans_Serif,MonotypeCorsiva,Palatino,SegoeUI,TimesNewRoman,TrebuchetMS,Verdana
Arial,142,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0
Bookman,0,148,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Calibri,0,0,144,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candara,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CenturyGothic,0,0,0,0,137,0,0,0,0,0,3,0,3,0,0,0,0,0,0,7
ComicSansMS,0,0,0,0,0,147,0,0,0,0,0,0,0,0,0,0,3,0,0,0
CourierNew,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0
FranclinGothic,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0
Garamond,0,0,0,1,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0
Georgia,3,0,0,0,0,0,0,0,0,145,0,0,0,2,0,0,0,0,0,0
Helvetica,0,0,0,0,1,0,0,0,0,1,141,0,0,0,0,0,0,0,6,1
Lobster,0,0,0,0,0,0,0,0,0,0,0,146,2,0,0,0,0,2,0,0
LucidaSans,4,0,0,0,0,0,0,0,0,2,3,0,139,0,0,0,0,0,1,1
MS_Sans_Serif,0,0,0,0,0,0,0,0,0,2,0,0,1,146,0,0,0,1,0,0
MonotypeCorsiva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,4,0,0,0,0
Palatino,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0
SegoeUI,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,146,0,0,0
TimesNewRoman,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,147,0,0
TrebuchetMS,1,0,0,0,0,0,0,0,0,1,3,0,3,0,0,0,0,0,142,0
Verdana,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,0,145
