,Arial,Bookman,Calibri,Candara,CenturyGothic,ComicSansMS,CourierNew,FranclinGothic,Garamond,Georgia,Helvetica,Lobster,LucidaSans,MS_Sans_Serif,MonotypeCorsiva,Palatino,SegoeUI,TimesNewRoman,TrebuchetMS,Verdana
Arial,126,0,0,0,0,0,1,0,0,0,4,0,1,10,0,0,0,0,8,0
Bookman,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calibri,0,0,115,33,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Candara,0,0,11,130,0,0,4,1,0,0,0,0,0,0,0,4,0,0,0,0
CenturyGothic,0,1,0,0,147,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ComicSansMS,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,3,0,1,0
CourierNew,0,0,0,1,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0
FranclinGothic,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0
Garamond,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,2,0,0
Georgia,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,5,0,0
Helvetica,5,0,0,0,0,0,0,0,0,0,110,0,0,2,0,0,0,0,29,4
Lobster,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0
LucidaSans,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0,0
MS_Sans_Serif,22,0,0,0,0,0,0,0,0,0,3,0,0,115,0,0,0,0,9,1
MonotypeCorsiva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0
Palatino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0
SegoeUI,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,144,0,0,0
TimesNewRoman,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,141,0,0
TrebuchetMS,0,5,0,0,2,0,0,0,0,3,9,0,0,1,0,0,0,0,126,4
Verdana,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,2,0,0,144
